Business_Name,Industry,Location,Size,Policy_Type,Premium_Amount,Policy_Duration_Years,Renewal_Date,Num_Contacts,Call_Duration_Minutes,Last_Interaction_Outcome,Claims_Filed,Customer_Satisfaction_Score,Discount_Availed,Economic_Trend_Index,Market_Competitiveness,Renewal_Status
Business_0,Construction,NY,Medium,Workers Compensation,16539.869636150906,2,2023-01-01,4,20.645631790712464,Positive,8,1.3015645170891683,15,89.10964585982208,9.377129190751416,1
Business_1,Retail,TX,Small,Workers Compensation,45606.91306253888,4,2023-01-02,6,36.203897151661174,Neutral,4,4.55443420918371,20,88.99436323672134,5.485284648342667,1
Business_2,Healthcare,TX,Medium,Workers Compensation,38766.34407673859,4,2023-01-03,4,43.51576561223949,Positive,5,1.8576289914089732,0,103.09287908822178,9.826189142866422,1
Business_3,Education,FL,Large,General Liability,1757.2286034451126,4,2023-01-04,8,40.08535423318432,Negative,2,2.4426427216950395,15,110.75965067805375,4.377778407883227,1
Business_4,Construction,NY,Small,Cyber,10302.21108469507,3,2023-01-05,5,21.75831132666724,Negative,0,1.715555277343642,0,117.0020276083504,9.740300414764306,1
Business_5,Healthcare,CA,Large,Property,16365.844865158173,1,2023-01-06,7,48.495837663276085,Positive,3,2.0777963439230787,10,90.84724050726695,3.0755122961367847,1
Business_6,Construction,TX,Large,Workers Compensation,12155.084072012258,2,2023-01-07,5,19.811243471285437,Neutral,6,4.2448243835381,15,93.64601097480002,4.84178993559358,0
Business_7,Retail,NY,Large,Auto,44180.69734543869,2,2023-01-08,9,10.764269402227544,Neutral,7,2.2671687518371733,5,103.19193209040219,9.038861196552103,0
Business_8,Education,CA,Small,Cyber,41210.87507568474,1,2023-01-09,6,2.9879220580419155,Neutral,5,4.667621530844064,5,118.7578918357608,5.053996736602181,1
Business_9,Education,CA,Medium,Property,5310.332912844052,1,2023-01-10,4,43.4888829619474,Neutral,5,1.0415445131277208,10,102.62104354831578,3.223946508909953,1
Business_10,Healthcare,FL,Medium,Workers Compensation,19884.386357608153,3,2023-01-11,6,27.93214527722519,Positive,8,4.194582726739447,10,102.76226856925378,1.2417739700495183,0
Business_11,Construction,FL,Small,General Liability,3916.009380175264,3,2023-01-12,3,8.655064950504139,Positive,8,3.457838853539425,20,104.30650910228002,2.255890678300684,1
Business_12,Construction,TX,Large,Property,7388.695813787623,1,2023-01-13,3,5.697883077108978,Neutral,2,1.9552108620988564,10,101.63184737349546,6.452388539098868,1
Business_13,Construction,FL,Small,Auto,16354.10930310483,3,2023-01-14,6,38.403260855520855,Positive,1,4.6670207671529385,20,112.03066580949974,3.7929443917506687,1
Business_14,Construction,FL,Small,General Liability,5446.859236655408,2,2023-01-15,5,12.047323912317923,Positive,9,2.497478031875896,0,92.39091672597434,9.547816837175423,0
Business_15,Technology,NY,Large,Cyber,35493.80869006697,4,2023-01-16,1,15.244357345617743,Neutral,8,2.2164007675003683,20,105.94881987128352,9.161433351630361,1
Business_16,Construction,NY,Large,Workers Compensation,8407.05040557373,1,2023-01-17,7,15.865714863595763,Positive,3,4.445090989170197,10,106.57469877055667,8.152962885636898,0
Business_17,Healthcare,TX,Large,Workers Compensation,44279.923299308975,3,2023-01-18,9,23.91978288135773,Positive,8,3.481541268157003,10,92.2761131451272,3.0914116789108244,0
Business_18,Construction,IL,Medium,Auto,25682.93540374837,3,2023-01-19,3,39.07931748906078,Neutral,3,3.7215758243923163,20,116.06331920217977,8.06992234176319,1
